,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-22 16:30:00,4335214.5,4336829.0,4333169.0,4333169.0,3603431424,4349802.583333333,4359846.18,4350224.992410613,4341712.48541912,8512.506991493516,13789.142194749787,19.440956681990322,69.06225318455213,38.987539174968646,4359846.18,4406353.248965159,4313339.11103484,5640.0,8921.9,0,0.17814255498191908
2022-02-22 16:35:00,4326395.0,4326395.0,4323767.0,4323767.0,0,4345107.583333333,4359644.78,4348189.762225182,4341022.274441461,7167.487783720717,12511.103782767947,18.327566045390544,74.08204663150609,40.41064124345475,4359644.78,4406751.744897244,4312537.815102757,-4509.5,3828.6,0,0.16598325916507733
2022-02-22 16:40:00,4324235.5,4324235.5,4322328.0,4324113.0,1322516480,4340907.25,4359336.14,4346337.7035924755,4340371.917732174,5965.785860301927,11210.632498614179,18.17970921176599,74.84695979054915,41.77760244659438,4359336.14,4407295.854270939,4311376.425729061,-4689.0,-951.45,0,0.16093804130579614
2022-02-22 16:45:00,4327476.0,4327521.0,4326061.5,4327521.0,2489843712,4337651.541666667,4358769.28,4344890.264854593,4339877.651665552,5012.6131890416145,9917.798784050574,22.175649686868187,71.2609103012969,42.49464554293499,4358769.28,4407918.164358279,4309620.395641722,-4308.0,-3925.4,0,0.20654478894618183
2022-02-22 16:50:00,4330138.5,4339760.5,4330138.5,4339760.5,12077760512,4335646.791666667,4358317.62,4344495.667558086,4339873.145832261,4622.521725825034,8689.630895037411,32.412061474128315,62.225520257246735,41.761853775033046,4358317.62,4407966.981173434,4308668.258826566,-1932.0,-6773.35,0,0.31944206343021897
2022-02-22 16:55:00,4339042.5,4339042.5,4330125.0,4330125.0,4360765440,4333630.291666667,4357176.64,4343390.23159208,4339498.217146405,3892.0144456746057,7541.203880444687,31.930868329823724,53.93842702001857,40.68633927243787,4357176.64,4408089.182959636,4306264.097040364,-20927.0,-9589.75,0,0.3138721153993395
2022-02-22 17:00:00,4330802.5,4335350.0,4330802.5,4335350.0,0,4332227.375,4354875.96,4342771.752238843,4339338.670333082,3433.0819057608023,6539.0402465445095,31.22650671750508,50.33992194384993,39.53611289440573,4354875.96,4404243.281156309,4305508.638843691,-23299.5,-9978.85,0,0.3582415831329021
2022-02-22 17:05:00,4342207.5,4344557.0,4341870.5,4343849.0,1566834688,4331566.958333333,4353152.46,4342854.617451239,4339512.144551041,3342.4729001987725,5726.731675292262,39.60843712950065,41.910210116801686,37.08861305406731,4353152.46,4400835.875538321,4305469.044461679,-49018.0,-12525.0,0,0.447320772937141
2022-02-22 17:10:00,4343174.5,4343174.5,4340468.0,4340468.0,444858368,4331792.625,4351667.36,4342671.031493451,4339548.908222155,3122.123271296732,5007.845341479302,39.16947150212871,40.78996054655284,34.75114811799217,4351667.36,4398483.567975447,4304851.152024554,-46468.5,-14556.3,0,0.4417968129073279
2022-02-22 17:15:00,4334227.5,4334227.5,4317976.0,4317976.0,0,4331114.291666667,4349242.32,4340771.413686262,4338719.180982841,2052.232703421265,4290.037087249052,31.288843685826638,52.98152583626744,34.15052270838752,4349242.32,4396523.670105656,4301960.969894345,-59619.5,-20913.1,0,0.362315357227242
