,Open,High,Low,Adj Close,Volume
2022/2/18 2:20,4701153,4701153,4701153,4701153,7500726272
2022/2/18 2:21,4700981.5,4700981.5,4700981.5,4700981.5,191365120
2022/2/18 2:22,4700750,4700750,4700750,4700750,0
2022/2/18 2:23,4700496,4700496,4700496,4700496,0
2022/2/18 2:24,4700555.5,4700555.5,4700555.5,4700555.5,0
2022/2/18 2:25,4701064.5,4701064.5,4701064.5,4701064.5,0
2022/2/18 2:26,4700864.5,4700864.5,4700864.5,4700864.5,0
2022/2/18 2:27,4702144.5,4702144.5,4702144.5,4702144.5,1148715008
2022/2/18 2:28,4701066.5,4701066.5,4701066.5,4701066.5,0
2022/2/18 2:29,4700122.5,4700122.5,4700122.5,4700122.5,410779648
2022/2/18 2:30,4699318,4699318,4699318,4699318,1121452032
2022/2/18 2:31,4699446,4699446,4699446,4699446,198967296
2022/2/18 2:32,4696428.5,4696428.5,4696428.5,4696428.5,0
2022/2/18 2:33,4696713,4696713,4696713,4696713,0
2022/2/18 2:34,4696837,4696837,4696837,4696837,0
2022/2/18 2:35,4698504,4698504,4698504,4698504,1570766848
2022/2/18 2:36,4697431,4697431,4697431,4697431,0
2022/2/18 2:37,4695449.5,4695449.5,4695449.5,4695449.5,0
2022/2/18 2:38,4695968.5,4695968.5,4695968.5,4695968.5,349700096
2022/2/18 2:39,4695006,4695006,4695006,4695006,391905280
2022/2/18 2:40,4695124.5,4695124.5,4695124.5,4695124.5,0
2022/2/18 2:41,4692944.5,4692944.5,4692944.5,4692944.5,0
2022/2/18 2:42,4692844,4692844,4692844,4692844,0
2022/2/18 2:43,4692745,4692745,4692745,4692745,139198464
2022/2/18 2:44,4693163,4693163,4693163,4693163,0
2022/2/18 2:45,4693526.5,4693526.5,4693526.5,4693526.5,1812725760
2022/2/18 2:46,4694991,4694991,4694991,4694991,123207680
2022/2/18 2:47,4696268,4696268,4696268,4696268,728498176
2022/2/18 2:48,4695742.5,4695742.5,4695742.5,4695742.5,0
2022/2/18 2:49,4695700,4695700,4695700,4695700,338952192
2022/2/18 2:50,4694896,4694896,4694896,4694896,1614544896
2022/2/18 2:51,4695981,4695981,4695981,4695981,0
2022/2/18 2:52,4695418,4695418,4695418,4695418,0
2022/2/18 2:53,4695352.5,4695352.5,4695352.5,4695352.5,0
2022/2/18 2:54,4695382,4695382,4695382,4695382,0
2022/2/18 2:55,4695767,4695767,4695767,4695767,0
2022/2/18 2:56,4696922,4696922,4696922,4696922,0
2022/2/18 2:57,4696494,4696494,4696494,4696494,0
2022/2/18 2:58,4695861.5,4695861.5,4695861.5,4695861.5,0
2022/2/18 2:59,4696035,4696035,4696035,4696035,0
2022/2/18 3:00,4696964.5,4696964.5,4696964.5,4696964.5,0
2022/2/18 3:01,4696730.5,4696730.5,4696730.5,4696730.5,235143168
2022/2/18 3:02,4696534,4696534,4696534,4696534,0
2022/2/18 3:03,4696439,4696439,4696439,4696439,0
2022/2/18 3:04,4695959,4695959,4695959,4695959,0
2022/2/18 3:05,4697365.5,4697365.5,4697365.5,4697365.5,914358272
2022/2/18 3:06,4696178,4696178,4696178,4696178,466878464
2022/2/18 3:07,4695147,4695147,4695147,4695147,0
2022/2/18 3:08,4691440,4691440,4691440,4691440,0
2022/2/18 3:09,4692113.5,4692113.5,4692113.5,4692113.5,0
2022/2/18 3:10,4694866.5,4694866.5,4694866.5,4694866.5,2389442560
2022/2/18 3:11,4694975,4694975,4694975,4694975,73138176
2022/2/18 3:12,4695591,4695591,4695591,4695591,333971456
2022/2/18 3:13,4695989.5,4695989.5,4695989.5,4695989.5,1577844736
2022/2/18 3:14,4696071,4696071,4696071,4696071,54788096
2022/2/18 3:15,4696273,4696273,4696273,4696273,729284608
2022/2/18 3:16,4695746,4695746,4695746,4695746,245366784
2022/2/18 3:17,4695049,4695049,4695049,4695049,0
2022/2/18 3:18,4695019.5,4695019.5,4695019.5,4695019.5,0
2022/2/18 3:19,4694121,4694121,4694121,4694121,0
2022/2/18 3:20,4691729,4691729,4691729,4691729,0
2022/2/18 3:21,4690586,4690586,4690586,4690586,145489920
2022/2/18 3:22,4688161,4688161,4688161,4688161,247201792
2022/2/18 3:23,4684160,4684160,4684160,4684160,493355008
2022/2/18 3:24,4683114,4683114,4683114,4683114,0
2022/2/18 3:25,4684354.5,4684354.5,4684354.5,4684354.5,0
2022/2/18 3:26,4685564.5,4685564.5,4685564.5,4685564.5,2178678784
2022/2/18 3:27,4685718,4685718,4685718,4685718,19660800
2022/2/18 3:28,4686452.5,4686452.5,4686452.5,4686452.5,38010880
2022/2/18 3:29,4686008,4686008,4686008,4686008,133955584
2022/2/18 3:30,4686191.5,4686191.5,4686191.5,4686191.5,0
2022/2/18 3:31,4686713.5,4686713.5,4686713.5,4686713.5,0
2022/2/18 3:32,4687852.5,4687852.5,4687852.5,4687852.5,2878341120
2022/2/18 3:33,4688573,4688573,4688573,4688573,2985033728
2022/2/18 3:34,4688254.5,4688254.5,4688254.5,4688254.5,0
2022/2/18 3:35,4690354,4690354,4690354,4690354,0
2022/2/18 3:36,4689968,4689968,4689968,4689968,51642368
2022/2/18 3:37,4686829,4686829,4686829,4686829,1017643008
2022/2/18 3:38,4686827.5,4686827.5,4686827.5,4686827.5,0
2022/2/18 3:39,4686811,4686811,4686811,4686811,0
2022/2/18 3:40,4686701.5,4686701.5,4686701.5,4686701.5,0
2022/2/18 3:41,4687655,4687655,4687655,4687655,0
2022/2/18 3:42,4687412.5,4687412.5,4687412.5,4687412.5,0
2022/2/18 3:43,4687104,4687104,4687104,4687104,0
2022/2/18 3:44,4685451,4685451,4685451,4685451,0
2022/2/18 3:45,4684404.5,4684404.5,4684404.5,4684404.5,978583552
2022/2/18 3:46,4683033,4683033,4683033,4683033,0
2022/2/18 3:47,4683504,4683504,4683504,4683504,0
2022/2/18 3:49,4684153.5,4684153.5,4684153.5,4684153.5,0
2022/2/18 3:50,4684263.5,4684263.5,4684263.5,4684263.5,73924608
2022/2/18 3:51,4684700.5,4684700.5,4684700.5,4684700.5,0
2022/2/18 3:52,4685603.5,4685603.5,4685603.5,4685603.5,370147328
2022/2/18 3:53,4686043.5,4686043.5,4686043.5,4686043.5,464781312
2022/2/18 3:54,4686708,4686708,4686708,4686708,1499463680
2022/2/18 3:55,4687056.5,4687056.5,4687056.5,4687056.5,180092928
2022/2/18 3:56,4689264,4689264,4689264,4689264,648806400
2022/2/18 3:57,4688803,4688803,4688803,4688803,0
2022/2/18 3:58,4688515.5,4688515.5,4688515.5,4688515.5,0
2022/2/18 3:59,4688494,4688494,4688494,4688494,0
2022/2/18 4:00,4688005,4688005,4688005,4688005,0
2022/2/18 4:01,4688046,4688046,4688046,4688046,0
2022/2/18 4:02,4688023.5,4688023.5,4688023.5,4688023.5,0
2022/2/18 4:03,4689694,4689694,4689694,4689694,0
2022/2/18 4:04,4690223,4690223,4690223,4690223,0
2022/2/18 4:05,4691735,4691735,4691735,4691735,0
2022/2/18 4:06,4691416,4691416,4691416,4691416,644874240
2022/2/18 4:07,4691003.5,4691003.5,4691003.5,4691003.5,0
2022/2/18 4:08,4689684.5,4689684.5,4689684.5,4689684.5,0
2022/2/18 4:09,4689423.5,4689423.5,4689423.5,4689423.5,0
2022/2/18 4:10,4690228.5,4690228.5,4690228.5,4690228.5,0
2022/2/18 4:11,4690924.5,4690924.5,4690924.5,4690924.5,0
2022/2/18 4:12,4691049.5,4691049.5,4691049.5,4691049.5,0
2022/2/18 4:13,4686896.5,4686896.5,4686896.5,4686896.5,0
2022/2/18 4:14,4686984,4686984,4686984,4686984,57671680
2022/2/18 4:15,4686705.5,4686705.5,4686705.5,4686705.5,0
2022/2/18 4:16,4685782,4685782,4685782,4685782,0
2022/2/18 4:17,4685656.5,4685656.5,4685656.5,4685656.5,0
2022/2/18 4:18,4685843,4685843,4685843,4685843,298057728
2022/2/18 4:19,4684769.5,4684769.5,4684769.5,4684769.5,0
2022/2/18 4:20,4683814,4683814,4683814,4683814,0
2022/2/18 4:21,4684246,4684246,4684246,4684246,0
2022/2/18 4:22,4685592,4685592,4685592,4685592,517996544
2022/2/18 4:23,4687163,4687163,4687163,4687163,0
2022/2/18 4:24,4687736,4687736,4687736,4687736,0
2022/2/18 4:25,4691866,4691866,4691866,4691866,2878341120
2022/2/18 4:26,4692468.5,4692468.5,4692468.5,4692468.5,396361728
