,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-25 15:20:00,4509827.0,4526251.5,4509827.0,4526251.5,19940769792,4520832.25,4534857.56,4521901.826398153,4510064.87789143,11836.948506723158,16798.39077613596,35.253633696001295,43.09667923375088,37.41374590801991,4534857.56,4578090.774141843,4491624.345858156,-24175.5,4023.0,0,0.4697088070875399
2022-02-25 15:25:00,4527523.0,4536525.5,4527523.0,4536525.5,1760559104,4521454.666666667,4534390.08,4523026.724367525,4511082.594134961,11944.130232564174,15767.644786692741,40.56148937074572,39.620613648921896,34.99772442098605,4534390.08,4577272.922320457,4491507.237679543,-7297.0,-1960.8,0,0.5274273316336594
2022-02-25 15:30:00,4536452.0,4538864.5,4536205.5,4538864.5,5098700800,4522247.375,4534073.48,4524245.014800793,4512151.128984593,12093.885816199705,14840.88164571621,42.51981820753615,37.21149056290474,33.10839416711633,4534073.48,4576691.249788135,4491455.710211866,-9348.0,-7576.5,0,0.5518614904510001
2022-02-25 15:35:00,4533745.5,4534545.0,4527227.5,4527227.5,0,4521123.083333333,4533385.58,4524474.436739193,4512730.9894127855,11743.447326407768,13936.813133626245,39.61132331795446,40.864274855400396,31.004963455160027,4533385.58,4575862.101212482,4490909.058787518,-19552.0,-14169.25,0,0.49358254620987774
2022-02-25 15:40:00,4525786.5,4525786.5,4522573.5,4524551.5,0,4520264.083333333,4531428.42,4524480.364682333,4513185.62443878,11294.740243552253,13064.265533506354,36.9686364090127,43.53614065170031,29.481826308422875,4531428.42,4570586.657966585,4492270.182033415,-19873.5,-20807.55,0,0.48343312684416684
2022-02-25 15:45:00,4531602.5,4540886.5,4531602.5,4540886.5,6423838720,4521110.208333333,4530038.96,4525742.375091384,4514251.042737281,11491.332354103215,12381.473155740028,39.11495244311824,43.20857422603506,27.847878057579234,4530038.96,4564891.590227158,4495186.329772842,-32594.0,-27905.9,0,0.5005588903607262
2022-02-25 15:50:00,4547350.0,4548003.5,4544623.0,4544623.0,8672772096,4521826.833333333,4529310.78,4527194.7308535855,4515419.194947794,11775.535905791447,11991.556428275278,43.38933912387811,43.33497970289362,25.995531567909808,4529310.78,4562002.738025091,4496618.82197491,-31000.0,-30098.7,0,0.5330456414682438
2022-02-25 15:55:00,4545828.5,4551032.0,4545828.5,4551032.0,6294077440,4523470.25,4528994.14,4529028.3669417715,4516788.918228166,12239.448713605292,11837.934410640866,45.99277312124964,39.520728164587105,24.767059336197462,4528994.14,4560626.203858807,4497362.076141193,-11795.5,-25491.0,0,0.5676588227451503
2022-02-25 16:00:00,4553643.5,4557975.0,4553643.5,4557975.0,0,4527435.333333333,4529408.48,4531255.031023174,4518372.99830647,12882.032716703601,11922.389090627847,47.40926157697121,39.56642231360629,23.71707391796556,4529408.48,4562303.086440586,4496513.873559415,-973.0,-20747.45,0,0.5723695705925987
2022-02-25 16:05:00,4561838.0,4566534.5,4561838.0,4565667.5,0,4534117.541666667,4530491.46,4533902.144021391,4520192.017613589,13710.126407802105,12130.519968525507,51.53012735221441,36.36015381691109,23.286610743441127,4530491.46,4566299.677816134,4494683.242183866,18051.0,-13855.75,0,0.6110836283686567
2022-02-25 16:10:00,4559895.5,4559895.5,4558905.5,4559010.5,0,4539227.166666667,4531378.42,4535833.556019745,4521685.036175762,14148.519843982533,12375.45214757199,56.407391876362446,28.70674174207819,23.903856694329697,4531378.42,4568899.035306536,4493857.804693464,20417.5,-9396.45,0,0.6731572667533346
2022-02-25 16:15:00,4561317.0,4561317.0,4555232.0,4555250.0,0,4543988.75,4532218.88,4537327.12863361,4522975.996330206,14351.13230340369,12626.257312816879,65.74769510889234,15.10202711022062,26.486381853519223,4532218.88,4570928.896762862,4493508.863237138,18413.5,-6825.4,0,0.7925815650423551
